id,title,company_name,category,job_type,candidate_required_location,salary,publication_date,tags
2091056,"Staff Software Engineer, Product (Belo Horizonte)",LawnStarter,Software Development,full_time,Brazil,$80k - $100k,2026-07-09 14:45:43,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091058,"Staff Software Engineer, Product (Montevideo)",LawnStarter,Software Development,full_time,Uruguay,$80k - $100k,2026-07-09 14:43:46,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091055,"Staff Software Engineer, Product (São Paulo)",LawnStarter,Software Development,full_time,Brazil,$80k - $100k,2026-07-09 14:41:32,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091050,"Staff Software Engineer, Product (Mexico City)",LawnStarter,Software Development,full_time,Mexico,$80k - $100k,2026-07-09 14:40:42,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091049,"Staff Software Engineer, Product (Campinas)",LawnStarter,Software Development,full_time,Brazil,$80k - $100k,2026-07-09 14:39:55,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091059,"Staff Software Engineer, Product (Florianópolis)",LawnStarter,Software Development,full_time,Brazil,$80k - $100k,2026-07-09 14:39:06,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091057,Staff Product Engineer (Mexico City),LawnStarter,Product Management,full_time,Mexico,$80k - $100k,2026-07-09 14:32:14,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091054,Staff Product Engineer (Montevideo),LawnStarter,Product Management,full_time,Uruguay,$80k - $100k,2026-07-09 14:30:17,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091053,Staff Product Engineer (Campinas),LawnStarter,Product Management,full_time,Brazil,$80k - $100k,2026-07-09 14:28:36,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091052,Staff Product Engineer (Belo Horizonte),LawnStarter,Product Management,full_time,Brazil,$80k - $100k,2026-07-09 14:26:20,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091051,Staff Product Engineer (Florianópolis),LawnStarter,Product Management,full_time,Brazil,$80k - $100k,2026-07-09 14:24:28,"AWS, backend, frontend, php, react, security, UI/UX, AI/ML, jira, react native, documentation, laravel, Typescript , people management, prototyping, engineering management, marketplace, github, REST, datadog"
2091048,Product Sales Specialist - Pet Health,Tribe Wellness,Sales,full_time,"USA, CST (UTC-6)",$55k - $100k,2026-07-09 08:01:56,"excel, salesforce, video, spark"
2086540,Inside Sales Contractor,"Credit Wellness, LLC",Sales,full_time,Worldwide,OTE $25k - $35k,2026-07-08 21:48:18,"CRM, google sheets, financial services, Inside Sales"
2090949,High-Ticket Financial Sales Specialist & Team Lead Track,FSE LLC,Sales,full_time,Worldwide,$3k - $10k,2026-07-08 19:44:58,"C, excel, team lead, financial services, C-Suite"
2091047,Online Data Analyst Canada (French Language) (C),TELUS Digital,All others,part_time,Canada,,2026-07-08 13:02:27,"go, social media, AI/ML, research, diversity"
2091045,Tier III Service Desk Engineer,Unio Digital,Information Technology,full_time,USA,,2026-07-07 09:04:10,"azure, cisco, security, video, documentation, hardware, helpdesk, onboarding, MSP, ticketing, Microsoft 365, IT systems"
1185979,Freelance Writer,IAPWE,Writing,freelance,Worldwide,$50-$75 /hour,2026-07-04 16:53:04,REST
1749306,Freelance Copywriter,Coalition Technologies ,Writing,freelance,Worldwide,$20k -$35k,2026-07-02 20:01:13,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite"
2090986,Senior AI Engineer,Lemon.io,Artificial Intelligence,full_time,"Northern America, LATAM, Europe, APAC",,2026-07-02 11:45:47,".Net, android, C, C#, C++, data science, golang, ios, java, javascript, node.js, php, python, react, ruby/rails, scala, shopify, swift, UI/UX, wordpress, blockchain, AI/ML, automation, project management, react native, rust, unity, electron, spring, laravel, Ethereum, graphic design, Typescript , angular , data engineering, Site Reliability, SOLID, Symfony, startup, marketplace, next.js, flutter"
2090942,Customer Operations & Writing Specialist,"Clerky, Inc.",Customer Service,full_time,Worldwide,$12K,2026-07-02 07:39:11,"AI/ML, startup, fundraising, testing"
2090985,Communications Manager,Lemon.io,Communications,full_time,"LATAM, Europe",,2026-06-30 08:40:42,"go, AI/ML, automation, responsive"
2091039,Client Success Coach (CSM),Impact Clients,Customer Service,full_time,"Northern America, Europe, South Africa",$120k - $220k,2026-06-29 14:20:56,"backend, video, CRM, youtube, organic marketing, onboarding, spreadsheets, gsuite"
